Year,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1860,,,,,,,,,0.00040834648156,0,0.16369246177,1.678,0.0024477677147,,,0,,0.0051586059084,4.152,,0,,,0,0,,,,,,0,0,,0.104,,0,0,,,,,0,,,0,0,,0,,0.055236480219,0,,0.148,,,,,,,,,0.0018700843391,,,,,0.01,10.407,,0,,0.00075954326562,9.933,,,,,,0,,,,,,0.247,,0.17552259399,,,,,,0.008,,,,0.012285813137,,,,,0.0010611509203,,0.0012255236066,,,,,,0.0019177527427,,,0,,,,,,,,,,,,0,,,,,,,,1.309,,,,0,,,0.091,,,0,,,,,,,,2.043,,,,0,0.0019076748538,0,0,0.001,0.11307992159,0,,,0,,,,0,0,,,,0.017763519781,0,,,,0.527,,,,,,,0.205,0.083,,,0.00060487720083,,,,,,,,0.0015486451431,,,,0.035914032169,,45.838,,12.947,,0.0048102609302,,,0,,,,,90.121699776,0.20651527955,89.968562546,0.35965250965,30.746013361,0,0.19944899878,0,76.914073595,0,13.051,0.16369246177,0,0,-1.4210854715e-14,90.328215056
1861,,,,,,,,,0.0005187103955,0,0.15299546049,1.741,0.0031093265565,,,0,,0.0065528237215,4.492,,0,,,0,0,,,,,,0,0,,0.125,,0,0,,,,,0,,,0,0,,0,,0.18159938702,0,,0.214,,,,,,,,,0.0023755125389,,,,,0.02,11.256,,0,,0.0009648252293,11.28,,,,,,0,,,,,,0.262,,0.13571334587,,,,,,0.183,,,,0.015606303175,,,,,0.0013479484664,,0.001556746203,,,,,,0.0024360642948,,,0,,,,,,,,,,,,0,,,,,,,,1.202,,,,0,,,0.117,,,0,,,,,,,,2.093,,,,0,0.0024232626521,0,0,0.002,0.14364206256,0,,,0,,,,0,0,,,,0.058400612977,0,,,,0.547,,,,,,,0.264,0.116,,,0.00076835752538,,,,,,,,0.0019671978845,,,,0.04562052735,,47.775,,12.467,,0.0061103314519,,,0,,,,,94.744626373,0.17508243293,94.549370973,0.37033783333,33.802368323,0,0.16610634655,0,82.008606999,0,12.592,0.15299546049,0,0,0,94.919708806
1862,,,,,,,,,0.00046794299509,0,0.21496592437,1.734,0.0028050094893,,,0,,0.0059114835275,4.461,,0,,,0,0,,,,,,0,0,,0.153,,0,0,,,,,0,,,0,0,,0,,0.30871895794,0,,0.185,,,,,,,,,0.002143015567,,,,,0.02,11.879,,0,,0.00087039552601,12.429,,,,,,0,,,,,,0.316,,0.15018943609,,,,,,0.335,,,,0.014078877757,,,,,0.0012160215952,,0.0014043838086,,,,,,0.0021976409808,,,0,,,,,,,,,,,,0,,,,,,,,1.548,,,,0,,,0.101,,,0,,,,,,,,2.403,,,,0,0.0021860922649,0,0,0.003,0.12958347771,0,,,0,,,,0,0,,,,0.099281042062,0,,,,0.597,,,,,,,0.269,0.128,,,0.00069315657609,,,,,,,,0.0017746636235,,,,0.041155539567,,46.253,,12.95,,0.0055122990119,,,0,,,,,96.563449982,0.18570537846,96.38610894,0.36304642053,36.59274504,0,0.17760780267,0,83.253581633,0,13.103,0.21496592437,0,0,0,96.74915536
1863,,,,,,,,,0.00049001577788,0,0.19662943482,1.604,0.0029373212576,,,0,,0.0061903270901,4.702,,0,,,0,0,,,,,,0,0,,0.192,,0,0,,,,,0,,,0,0,,0,,0.43583852885,0,,0.206,,,,,,,,,0.002244101207,,,,,0.021,12.06,,0,,0.00091145191874,13.478,,,,,,0,,,,,,0.33,,0.1664750376,,,,,,0.292,,,,0.014742975765,,,,,0.0012733811044,,0.0014706283279,,,,,,0.0023013032912,,,0,,,,,,,,,,,,0,,,,,,,,1.115,,,,0,,,0.099,,,0,,,,,,,,2.744,,,,0,0.0022892098246,0,0,0.003,0.1356959059,0,,,0,,,,0,0,,,,0.14016147115,0,,,,0.664,,,,,,,0.269,0.128,,,0.000725852641,,,,,,,,0.0018583741718,,,,0.043096838603,,49.188,,14.959,,0.0057723131162,,,0,,,,,103.01143821,0.20366626027,102.82587354,0.38923093639,38.070016033,0,0.19518672335,0,87.672288314,0,15.151,0.19662943482,0,0,-1.4210854715e-14,103.21510447
1864,,,,,,,,,0.0005496122914,0,0.24649566847,1.385,0.0032945630322,,,0,,0.0069432047092,4.935,,0,,,0,0,,,,,,0,0,,0.23,,0,0,,,,,0,,,0,0,,0,,0.56295809977,0,,0.177,,,,,,,,,0.0025170324348,,,,,0.013,12.781,,0,,0.0010223041791,15.459,,,,,,0,,,,,,0.33,,0.15742748121,,,,,,0.438,,,,0.016536040385,,,,,0.0014282517793,,0.00164948853,,,,,,0.0025811915293,,,0,,,,,,,,,,,,0,,,,,,,,0.929,,,,0,,,0.131,,,0,,,,,,,,3.062,,,,0,0.0025676272356,0,0,0.004,0.15219946203,0,,,0,,,,0,0,,,,0.18104190023,0,,,,0.637,,,,,,,0.283,0.156,,,0.00081413201625,,,,,,,,0.0020843926521,,,,0.048338346001,,52.923,,16.009,,0.006474351198,,,0,,,,,111.07978119,0.19914196069,110.8710127,0.40791044877,41.183747712,0,0.18963112874,0,94.603796352,0,16.239,0.24649566847,0,0,1.4210854715e-14,111.27892315
1865,,,,,,,,,0.00052533223034,0,0.26569530425,1.461,0.003149020087,,,0,,0.0066364767903,5.202,,0,,,0,0,,,,,,0,0,,0.278,,0,0,,,,,0,,,0,0,,0,,0.69007767069,0,,0.277,,,,,,,,,0.0024058382309,,,,,0.017,13.456,,0,,0.00097714214712,17.322,,,,,,0,,,,,,0.343,,0.15471321429,,,,,,0.347,,,,0.015805532577,,,,,0.0013651563192,,0.0015766195588,,,,,,0.0024671629879,,,0,,,,,,,,,,,,0,,,,,,,,1.05,,,,0,,,0.129,,,0,,,,,,,,3.39,,,,0,0.00245419792,0,0,0.004,0.14547579101,0,,,0,,,,0,0,,,,0.22192232931,0,,,,0.629,,,,,,,0.295,0.19,,,0.00077816634485,,,,,,,0.041,0.001992311049,,,,0.046202917061,,56.083,,16.054,,0.0061883356832,,,0,,,,,117.90282363,0.23558488544,117.74410114,0.39430737606,44.711449621,0,0.18549421073,0,101.314219,0.041,16.332,0.26569530425,0,0,0,118.13840852
1866,,,,,,,,,0.0016598732656,0,0.34936122775,0.981,0.0099498449808,,,0,,0.020969035909,5.603,,0,,,0,0,,,,,,0,0,,0.339,,0,0,,,,,0,,,0,0,,0,,0.8171972416,0,,0.256,,,,,,,,,0.0076016401244,,,,,0.019,14.618,,0,,0.0030874407338,17.169,,,,,,0,,,,,,0.39,,0.17461783835,,,,,,0.403,,,,0.049940170159,,,,,0.0043134350924,,0.0049815878495,,,,,,0.0077954057432,,,0,,,,,,,,,,,,0,,,,,,,,1.151,,,,0,,,0.142,,,0,,,,,,,,3.317,,,,0,0.0077544404868,0,0,0.005,0.45965460018,0,,,0,,,,0,0,,,,0.2628027584,0,,,,0.625,,,,,,,0.304,0.188,,,0.0024587440812,,,,,,,0.057,0.0062950332305,,,,0.14598568752,,57.787,,16.166,,0.019553060646,,,0,,,,,121.51838015,0.35759891694,120.95196287,0.92401619823,45.941378634,0,0.27187544054,0,104.6927424,0.057,16.505,0.34936122775,0,0,-1.4210854715e-14,121.87597907
1867,,,,,,,,,0.0019048811545,0,0.33838767613,1.341,0.01141850561,,,0,,0.024064199454,6.068,,0,,,0,0,,,,,,0,0,,0.435,,0,0,,,,,0,,,0,0,,0,,0.94356014841,0,,0.25,,,,,,,,,0.0087236907279,,,,,0.017,14.814,,0,,0.0035431666931,18.874,,0.046,,,,0,,,,,,0.461,,,,,,,,0.401,,,,0.057311658041,,,,,0.0049501256447,,0.0057169020135,,,,,,0.0089460573888,,,0,,,,,,,,,,,,0,,,,,,,,1.103,,,,0,,,0.169,,,0,,,,,,,,3.628,,,,0,0.0088990453991,0,0,0.006,0.52750255313,0,,,0,,,,0,0,,,,0.30343985159,0,,,,0.698,,,,,,,0.283,0.184,,,0.0028216704017,,,,,,,0.062,0.0072242203164,,,,0.16753410682,,59.327,,19.887,,0.022439217204,,,0,,,,,130.29581099,0.20657668992,129.64211137,0.86027630927,49.26038665,0,0.11161344507,0,109.66838655,0.062,20.322,0.33838767613,0,0,0,130.50238768
1868,,,,,,,,,0.0015848258041,0,0.41819306003,1.657,0.0094999849684,,,0,,0.020020967796,5.486,,0,,,0,0,,,,,,0,0,,0.258,,0,0,,,,,0,,,0,0,,0,,1.0706797193,0,,0.296,,,,,,,,,0.0072579489486,,,,,0.024,15.156,,0,,0.0029478489985,20.297,,0.023,,,,0,,,,,,0.493,,,,,,,,0.463,,0.003,,0.047682236933,,,,,0.0041184127611,,0.004756356484,,,,,,0.0074429538878,,,0,,,,,,,,,,,,0,,,,,,,,1.157,,,,0,,,0.173,,,0,,,,,,,,4.126,,,,0,0.0074038407839,0,0,0.007,0.43887234432,0,,,0,,,,0,0,,,,0.34432028068,0,,,,0.726,,,,,,,0.334,0.21,,,0.0023475774605,,,,,,,0.048,0.0060104173664,,,,0.1393852708,,58.193,,22.476,,0.018669012691,,,0,,,,,133.98890793,0.16828512556,133.43945101,0.71774205105,51.679457259,0,0.095860316984,0,110.86113968,0.048,22.734,0.41819306003,0,0,0,134.15719306
1869,,,,,,,,,0.0021498890435,0,0.39975007282,1.77,0.012887166238,,,0,,0.027159362999,5.909,,0,,,0,0,,,,,,0,0,,0.187,,0,0,,,,,0,,,0,0,,0,,1.1977992902,0,,0.258,,,,,,,,,0.0098457413314,,,,,0.019,15.541,,0,,0.0039988926525,21.177,,0.053,,,,0,,,,,,0.536,,,,,,,,0.511,,0.005,,0.064683145924,,,,,0.0055868161969,,0.0064522161774,,,,,,0.010096709034,,,0,,,,,,,,,,,,0,,,,,,,,1.193,,,,0,,,0.151,,,0,,,,,,,,4.261,,,,0,0.010043650311,0,0,0.007,0.59535050608,0,,,0,,,,0,0,,,,0.38520070976,0,,,,0.72,,,,,,,0.297,0.203,,,0.0031845967222,,,,,,,0.073,0.0081534074023,,,,0.18908252612,,61.055,,25.572,,0.025325373762,,,0,,,,,142.21857777,0.23617230125,141.48359581,0.97115425867,53.861394667,0,0.13096928794,0,116.09203071,0.073,25.759,0.39975007282,0,0,0,142.45475007
